0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:53:13 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20624
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:53:14 +0900] "GET /HS/LoginAdmin.jsp HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:44:46 +0900] "GET /HS/LoginAdmin.jsp HTTP/1.1" 200 9330
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:44:49 +0900] "GET /HS/LoginAdmin.jsp HTTP/1.1" 200 9330
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:44:50 +0900] "GET /HS/LoginAdmin.jsp HTTP/1.1" 200 9330
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:44:53 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:44:53 +0900] "GET /HS/css/Header2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:44:55 +0900] "GET /HS/main.jsp HTTP/1.1" 200 9756
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:45:00 +0900] "GET /HS/Infor.jsp HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:45:04 +0900] "GET /HS/lectureManager.jsp HTTP/1.1" 200 131831
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:45:24 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:45:26 +0900] "GET /HS/CourseRegistration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:45:29 +0900] "GET /HS/Infor.jsp HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:46:23 +0900] "GET /HS/Infor.jsp HTTP/1.1" 200 5412
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:46:23 +0900] "GET /HS/Infor.jsp HTTP/1.1" 200 5412
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:46:24 +0900] "GET /HS/main.jsp HTTP/1.1" 200 9756
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:46:26 +0900] "POST /HS/LoginServlet HTTP/1.1" 200 9989
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:46:27 +0900] "GET /HS/Admin.jsp HTTP/1.1" 200 9770
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:46:28 +0900] "POST /HS/LoginAdminServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:46:28 +0900] "GET /HS/LoginAdmin.jsp HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:46:30 +0900] "GET /HS/Infor.jsp HTTP/1.1" 200 5440
0:0:0:0:0:0:0:1 - - [05/Dec/2024:23:46:31 +0900] "GET /HS/lecturesPlan.jsp HTTP/1.1" 200 20625
